player1,winner,player2,year,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2,round
Rafael Nadal,Rafael Nadal,Roger Federer,2009,64%,52%,4,11,4,6,66%,73%,48%,45%,196,204,179,183,143,156,44%,32%,40%,41%,173,174,50,71,41,64,58%,72%,Final
Rafael Nadal,Rafael Nadal,Fernando Verdasco,2009,74%,69%,12,20,3,4,72%,71%,62%,55%,200,220,182,188,143,158,20%,50%,34%,31%,193,192,52,95,25,76,70%,65%,semi
Roger Federer,Roger Federer,Andy Roddick,2009,66%,65%,16,8,0,2,83%,70%,58%,52%,208,224,188,206,156,172,31%,0%,36%,26%,105,85,51,38,15,18,63%,50%,semi
Rafael Nadal,Rafael Nadal,Gilles Simon,2009,67%,55%,5,4,2,4,73%,71%,58%,38%,203,203,183,182,140,135,58%,43%,44%,32%,105,83,29,42,24,41,87%,66%,quarter
Fernando Verdasco,Fernando Verdasco,Jo-Wilfried Tsonga,2009,78%,65%,7,9,3,3,69%,72%,59%,49%,216,216,174,185,154,150,100%,15%,36%,33%,129,114,36,46,29,40,70%,61%,quarter
Roger Federer,Roger Federer,Juan Martin Del Potro,2009,70%,59%,12,5,0,2,86%,46%,75%,33%,204,209,188,192,159,151,64%,-,59%,17%,83,36,38,8,9,24,84%,45%,quarter
Andy Roddick,Andy Roddick,Novak Djokovic,2009,71%,62%,16,8,5,5,87%,63%,44%,48%,224,203,203,185,171,164,42%,100%,43%,25%,114,88,43,43,14,39,54%,50%,quarter
Rafael Nadal,Rafael Nadal,Fernando Gonzalez,2009,67%,69%,4,6,0,2,78%,59%,63%,36%,196,206,180,177,143,148,46%,29%,48%,27%,96,66,33,22,11,35,71%,44%,Fourth
Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,James Blake,2009,64%,53%,12,4,3,5,84%,67%,46%,59%,220,206,195,185,150,153,50%,25%,37%,30%,111,97,46,32,31,27,61%,76%,Fourth
Gilles Simon,Gilles Simon,Gael Monfils,2009,64%,57%,3,1,4,3,71%,59%,36%,41%,196,212,174,171,134,138,50%,44%,49%,42%,89,78,29,21,36,31,66%,59%,Fourth
Fernando Verdasco,Fernando Verdasco,Andy Murray,2009,74%,61%,10,7,6,3,69%,62%,34%,56%,216,212,175,182,156,132,29%,38%,40%,40%,137,138,51,52,50,40,64%,68%,Fourth
Juan Martin Del Potro,Juan Martin Del Potro,Marin Cilic,2009,67%,50%,8,10,3,1,70%,70%,53%,53%,214,209,185,192,153,145,60%,30%,39%,36%,133,119,27,48,45,64,77%,81%,Fourth
Andy Roddick,Andy Roddick,Tommy Robredo,2009,63%,68%,13,0,2,2,84%,63%,59%,50%,217,196,206,171,169,148,71%,0%,41%,26%,91,67,34,20,27,24,69%,77%,Fourth
